Tema,Item,Peso
Descriptiva,Clasificar tipos de variables,1
Descriptiva,Calcular frecuencias relativas,1
Descriptiva,Calcular frecuencias acumuladas,1
Descriptiva,Identificar el tamaño muestral a partir de la muestra,1
Descriptiva,Identificar el tamaño muestral a partir de un diagrama,2
Descriptiva,Construir la tabla de frecuencias sin datos agrupados,1
Descriptiva,Construir la tabla de frecuencias con datos agrupados,1
Descriptiva,Dibujar un diagrama de barras y el correspondiente polígono,1
Descriptiva,Dibujar un diagrama de barras de frecuencias acumuladas y el correspondiente polígono,1
Descriptiva,Dibujar un histograma y el correspondiente polígono,1
Descriptiva,Dibujar un histograma de frecuencias acumuladas y el correspondiente polígono,1
Descriptiva,Dibujar un diagrama de sectores,1
Descriptiva,"Obtener la distribución de frecuencias a partir de un diagrama de barras, histograma o sectores",3
Descriptiva,Identificar el diagrama de frecuencias más apropiado para cada caso,2
Descriptiva,Identificar distribuciones normales (con forma de campana de Gauss) ,2
Descriptiva,Identificar la asimetría de una distribución a partir del diagrama de barras o histograma,1
Descriptiva,Identificar el apuntamiento de una distribución a partir del diagrama de barras o histograma,1
Descriptiva,Calcular la media aritmética a partir de la muestra,2
Descriptiva,Calcular la media aritmética a partir de la tabla de frecuencias,2
Descriptiva,Calcular la media aritmética a partir de las sumas,2
Descriptiva,Interpretar la media aritmética,2
Descriptiva,Calcular la media ponderada,1
Descriptiva,Calcular la mediana a partir de la muestra,2
Descriptiva,Calcular la mediana a partir de la tabla de frecuencias sin datos agrupados,2
Descriptiva,Calcular la mediana a partir de la tabla de frecuencias con datos agrupados (interpolación),2
Descriptiva,Interpretar la mediana,2
Descriptiva,Calcular la moda a partir de la muestra,1
Descriptiva,Calcular la moda a partir de la tabla de frecuencias,1
Descriptiva,Interpretar la moda,1
Descriptiva,Identificar el estadístico de tendencia central más apropiado en cada caso,2
Descriptiva,Calcular percenciles a partir de la tabla de frecuencias sin datos agrupados,2
Descriptiva,Calcular percenciles a partir de la tabla de frecuencias con datos agrupados (interpolación),2
Descriptiva,Calcular la frecuencia acumulada hasta un determinado valor con datos agrupados (interpolación),2
Descriptiva,Interpretar percentiles,3
Descriptiva,Calcular el recorrido,1
Descriptiva,Calcular el rango intercuartílico,1
Descriptiva,Interpretar el rango intercuartílico,2
Descriptiva,Calcular las vallas del diagrama de caja y bigotes,1
Descriptiva,Dibujar la caja del diagrama de caja y bigotes,1
Descriptiva,Dibujar los bigotes del diagrama de caja y bigotes,1
Descriptiva,Identificar los datos atípicos a partir de las vallas,2
Descriptiva,Interpretar la variabilidad central a partir del diagrama de caja y bigotes,1
Descriptiva,Interpretar la asimetría a partir del diagrama de caja y bigotes,1
Descriptiva,Calcular la desviación de un dato a la media,1
Descriptiva,Calcular la varianza a partir de la muestra,2
Descriptiva,Calcular la varianza a partir de la tabla de frecuencias,2
Descriptiva,Calcular la varianza a partir de las sumas,2
Descriptiva,Interpretar la varianza (unidades),1
Descriptiva,Calcular la desviación típica,1
Descriptiva,Interpretar la desviación típica,2
Descriptiva,Calcular el coeficiente de variación,2
Descriptiva,Interpretar el coeficiente de variación,3
Descriptiva,Comparar la variabilidad relativa de dos o más muestras,3
Descriptiva,Calcular el coeficiente de asimetría a partir de la muestra,2
Descriptiva,Calcular el coeficiente de asimetría a partir de la tabla de frecuencias,2
Descriptiva,Calcular el coeficiente de asimetría a partir de las sumas,2
Descriptiva,Interpretar el coeficiente de asimetría,2
Descriptiva,Calcular el coeficiente de apuntamiento a partir de la muestra,2
Descriptiva,Calcular el coeficiente de apuntamiento a partir de la tabla de frecuencias,2
Descriptiva,Calcular el coeficiente de apuntamiento a partir de las sumas,2
Descriptiva,Interpretar el coeficiente de apuntamiento,2
Descriptiva,Identificar si una muestra proviene de una población normal a partir de los coeficientes de asimetría y apuntamiento,3
Descriptiva,Calcular la media de una transformación lineal,1
Descriptiva,Calcular la desviación típica de una transformación lineal,1
Descriptiva,Calcular el coeficiente de asimetría de una transformación lineal,1
Descriptiva,Calcular el coeficiente de apuntamiento de una transformación lineal,1
Descriptiva,Aplicar la transformación de tipificación,2
Descriptiva,Interpretar una puntuación típica,2
Descriptiva,Comparar puntuaciones típicas,2
Regresión,Construir la tabla de frecuencias bidimensional,1
Regresión,Calcular las distribuciones marginales,1
Regresión,Dibujar el diagrama de dispersión,2
Regresión,Identificar los principales tipos de relaciones no lineales a partir del diagrama de dispersión,2
Regresión,Calcular la covarianza a partir de la muestra,2
Regresión,Calcular la covarianza a partir de la tabla de frecuencias,2
Regresión,Calcular la covarianza a partir de las sumas,2
Regresión,Interpretar la covarianza (unidades),2
Regresión,Calcular la recta de regresión,3
Regresión,Calcular el coeficiente de regresión,2
Regresión,Interpretar el coeficiente de regresión,2
Regresión,Utilizar la recta de regresión para predecir la variable dependiente,1
Regresión,Identificar el modelo de regresión adecuado dependiendo de la variable que se quiera predecir,3
Regresión,Calcular las medias a partir de las rectas de regresión,1
Regresión,Calcular el coeficiente de determinación lineal,3
Regresión,Calcular el coeficiente de determinación a partir de las rectas de regresión,1
Regresión,Interpretar el coeficiente de determinación lineal,3
Regresión,Calcular el coeficiente de correlación lineal,3
Regresión,Interpretar el coeficiente de correlación lineal,3
Regresión,"Interpretar la fiabilidad de una predicción teniendo en cuenta r, el tamaño de la muestra y si el valor de la variable independiente está en el rago de valores de la muestra",3
Regresión,Calcular un modelo de regresión exponencial,2
Regresión,Calcular un modelo de regresión logarítmico,2
Regresión,Comparar la bondad de ajuste de dos o más modelos de regresión,3
Regresión,Hacer predicciones con modelos de regresión no lineales,1
Regresión,Identificar datos atípicos en un diagrama de dispersión,1
Probabilidad,Probabilidad,3
Probabilidad,Identificar la unión,2
Probabilidad,Identificar la interseción,3
Probabilidad,Identificar la diferencia entres dos sucesos,2
Probabilidad,Identificar la interseción de dos sucesos contrarios,2
Probabilidad,Calcular la probabilidad de la unión,2
Probabilidad,Calcular la probabilidad de la interseción,2
Probabilidad,Calcular la probabilidad de la diferencia entre dos sucesos,2
Probabilidad,Calcular la probabilidad del suceso contrario,2
Probabilidad,Aplicar las leyes de Morgan,3
Probabilidad,Interpretación de la probabilidad,2
Probabilidad,Interpretación de dos sucesos incompatibles,2
Probabilidad,Calculo de la probabilidad condicionada,3
Probabilidad,Identificación de sucesos independientes,3
Probabilidad,Calcular la probabilidad total,3
Probabilidad,Calcular la probabilidades a posteriori,3
Probabilidad,Interpretación de las probabilidades a posteriori,3
Epidemiología,Calcular la prevalencia de un suceso,1
Epidemiología,Calcular la incidencia de un suceso,1
Epidemiología,Calcular la tasa de incidencia,1
Epidemiología,Calcular el riesgo atribuible,1
Epidemiología,Interpretación del riesgo atribuible,2
Epidemiología,Calcular el riesgo relativo,2
Epidemiología,Interpretación del riesgo relativo,3
Epidemiología,Calcular el Odds ratio,2
Epidemiología,Interpretación del Odds ratio,3
Epidemiología,Identificar cuando es mejor usar el riesgo relativo y cuando el odds ratio,2
Epidemiología,Calcular la sensibilidad de un test diagnóstico a partir de la tabla,1
Epidemiología,Calcular la especificidad de un test diagnóstico a partir de la tabla,1
Epidemiología,Calcular la sensibilidad de un test diagnóstico a partir de los valores predictivos,2
Epidemiología,Calcular la especificidad de un test diagnóstico a partir de los valores predictivos,2
Epidemiología,Interpetación de la sensibilidad y de la especificidad,2
Epidemiología,Calcular el valor predictivo positivo,3
Epidemiología,Calcular el valor predictivo negativo,3
Epidemiología,Interpetación de los valores predictivos,3
Epidemiología,Calcular la probabilidad de la no enfermedad si el test a dado positivo,2
Epidemiología,Calcular la probabilidad de la enfermedad si el test ha dado negativo,2
Epidemiología,Calcular la probabilidad de diagnóstico acertado,2
Epidemiología,Calcular la probabilidad de diagnóstico erroneo,2
Variables Aleatorias Discretas,Calcular la función de probabilidad,1
Variables Aleatorias Discretas,Calcular la función de distribución,1
Variables Aleatorias Discretas,Construir la tabla de distribución de probabilidad,2
Variables Aleatorias Discretas,Dibujar el gráfico de la función de probabilidad,1
Variables Aleatorias Discretas,Dibujar el gráfico de la función de distribución,1
Variables Aleatorias Discretas,Calcular la media a partir de la tabla de distribución de probabilidad,1
Variables Aleatorias Discretas,Calcular la varianza a partir de la tabla de distribución de probabilidad,1
Variables Aleatorias Discretas,Calcular la desviación típica a partir de la tabla de distribución de probabilidad,1
Variables Aleatorias Discretas,Identificar que mide la variable aleatoria discreta,1
Variables Aleatorias Discretas,Identificar el modelo de distribución de probabilidad Binomial,3
Variables Aleatorias Discretas,Identificar la probabilidad buscada en un determinado estudio,3
Variables Aleatorias Discretas,Identificar los parametros de una distribución Binomial,2
Variables Aleatorias Discretas,Calcular la función de probabilidad Binomial,2
Variables Aleatorias Discretas,Calcular la media a partir de una distribución Binomial,1
Variables Aleatorias Discretas,Calcular la varianza a partir de una distribución Binomial,1
Variables Aleatorias Discretas,Calcular la desviación típica a partir de una distribución Binomial,1
Variables Aleatorias Discretas,Identificar el modelo de distribución de probabilidad de Poisson,3
Variables Aleatorias Discretas,Identificar la lambda del modelo de Poisson,2
Variables Aleatorias Discretas,Calcular la función de probabilidad de Poisson,2
Variables Aleatorias Discretas,Calcular la media a partir de una distribución Poisson,1
Variables Aleatorias Discretas,Calcular la varianza a partir de una distribución Poisson,1
Variables Aleatorias Discretas,Calcular la desviación típica a partir de una distribución Poisson,1
Variables Aleatorias Discretas,Identificar cuando una Binomial se puede approximar a una Poissoniana,2
Variables Aleatorias Continuas,Identificar el area de a considerar en una dostribución normal,2
Variables Aleatorias Continuas,Calculo de las probabilidades con la Normal estándar por encima de un cierto valor,3
Variables Aleatorias Continuas,Calculo de las probabilidades con la Normal estándar por debajo de un cierto valor,2
Variables Aleatorias Continuas,Calculo de las probabilidades con la Normal estándar entre dos valores,3
Variables Aleatorias Continuas,Transformación de tipificación,3
Variables Aleatorias Continuas,Determinar el valor de la variable aleatoria utilizando la tabla de la función de distribución,3
Variables Aleatorias Continuas,Determinara la media de la Normal,3
Variables Aleatorias Continuas,Determinar la desviación típica de la Normal,3
